graph,n_directed,n_undirected,n_total,directed_edges,undirected_edges
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_moderate_tiers,56,0,56,Income_Ratio -> Age; Age -> BMI; Gender -> BMI; Waist_Circumference -> BMI; Vigorous_Activity -> BMI; Systolic_BP -> BMI; Total_Calories -> BMI; Protein_g -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Income_Ratio -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Total_Calories -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Gender -> Systolic_BP; Income_Ratio -> Systolic_BP; Waist_Circumference -> Systolic_BP; Age -> Diastolic_BP; Gender -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Waist_Circumference -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Carbohydrates_g -> Diastolic_BP; Income_Ratio -> Total_Calories; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Age -> Protein_g; Gender -> Protein_g; Income_Ratio -> Protein_g; Vigorous_Activity -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Age -> Carbohydrates_g; Gender -> Carbohydrates_g; Income_Ratio -> Carbohydrates_g; Vigorous_Activity -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Income_Ratio -> Total_Sugars_g; Age -> Dietary_Fiber_g; Gender -> Dietary_Fiber_g; Income_Ratio -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Sedentary_Minutes -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p010_constraint_nhanes_strict_tiers,49,0,49,Age -> Income_Ratio; Waist_Circumference -> BMI; Vigorous_Activity -> BMI; Total_Calories -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Total_Calories -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Gender -> Systolic_BP; Income_Ratio -> Systolic_BP; BMI -> Systolic_BP; Age -> Diastolic_BP; Gender -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Waist_Circumference -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Carbohydrates_g -> Diastolic_BP; Income_Ratio -> Total_Calories; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Age -> Protein_g; Gender -> Protein_g; Income_Ratio -> Protein_g; Vigorous_Activity -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Age -> Carbohydrates_g; Gender -> Carbohydrates_g; Income_Ratio -> Carbohydrates_g; Vigorous_Activity -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Income_Ratio -> Total_Sugars_g; Age -> Dietary_Fiber_g; Gender -> Dietary_Fiber_g; Income_Ratio -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Sedentary_Minutes -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p010_constraint_unconstrained,53,0,53,Gender -> Age; Income_Ratio -> Age; BMI -> Age; Waist_Circumference -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Diastolic_BP -> Age; Vigorous_Activity -> Gender; Vigorous_Activity -> Income_Ratio; Gender -> BMI; Vigorous_Activity -> BMI; Gender -> Waist_Circumference; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Systolic_BP -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; Gender -> Systolic_BP; BMI -> Systolic_BP; Vigorous_Activity -> Systolic_BP; Diastolic_BP -> Systolic_BP; Gender -> Diastolic_BP; BMI -> Diastolic_BP; Age -> Total_Calories; Income_Ratio -> Total_Calories; BMI -> Total_Calories; Waist_Circumference -> Total_Calories; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Age -> Protein_g; Gender -> Protein_g; Income_Ratio -> Protein_g; BMI -> Protein_g; Vigorous_Activity -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Age -> Carbohydrates_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Income_Ratio -> Total_Sugars_g; Age -> Dietary_Fiber_g; Gender -> Dietary_Fiber_g; Income_Ratio -> Dietary_Fiber_g; Waist_Circumference -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Sedentary_Minutes -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_moderate_tiers,44,0,44,Income_Ratio -> Age; Age -> BMI; Gender -> BMI; Waist_Circumference -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Total_Calories -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Gender -> Systolic_BP; Income_Ratio -> Systolic_BP; Waist_Circumference -> Systolic_BP; Age -> Diastolic_BP; Gender -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Waist_Circumference -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Income_Ratio -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Income_Ratio -> Total_Sugars_g; Age -> Dietary_Fiber_g; Gender -> Dietary_Fiber_g; Income_Ratio -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Sedentary_Minutes -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p050_constraint_nhanes_strict_tiers,41,0,41,Age -> Income_Ratio; Waist_Circumference -> BMI; Vigorous_Activity -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Total_Calories -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Gender -> Systolic_BP; Income_Ratio -> Systolic_BP; BMI -> Systolic_BP; Age -> Diastolic_BP; Gender -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Waist_Circumference -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Income_Ratio -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Income_Ratio -> Total_Sugars_g; Age -> Dietary_Fiber_g; Gender -> Dietary_Fiber_g; Income_Ratio -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Sedentary_Minutes -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p050_constraint_unconstrained,44,0,44,Gender -> Age; Income_Ratio -> Age; BMI -> Age; Waist_Circumference -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Diastolic_BP -> Age; Vigorous_Activity -> Gender; Vigorous_Activity -> Income_Ratio; Vigorous_Activity -> BMI; Gender -> Waist_Circumference; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Systolic_BP -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; Gender -> Systolic_BP; BMI -> Systolic_BP; Vigorous_Activity -> Systolic_BP; Diastolic_BP -> Systolic_BP; Gender -> Diastolic_BP; BMI -> Diastolic_BP; BMI -> Total_Calories; Waist_Circumference -> Total_Calories; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Income_Ratio -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Income_Ratio -> Total_Sugars_g; Age -> Dietary_Fiber_g; Gender -> Dietary_Fiber_g; Income_Ratio -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p060_constraint_nhanes_moderate_tiers,41,0,41,Income_Ratio -> Age; Age -> BMI; Gender -> BMI; Waist_Circumference -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Total_Calories -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Income_Ratio -> Systolic_BP; Waist_Circumference -> Systolic_BP; Age -> Diastolic_BP; Gender -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Waist_Circumference -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Income_Ratio -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Income_Ratio -> Total_Sugars_g; Age -> Dietary_Fiber_g; Gender -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p060_constraint_nhanes_strict_tiers,38,0,38,Age -> Income_Ratio; Waist_Circumference -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Total_Calories -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Gender -> Systolic_BP; Income_Ratio -> Systolic_BP; BMI -> Systolic_BP; Age -> Diastolic_BP; Gender -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Waist_Circumference -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Income_Ratio -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Income_Ratio -> Total_Sugars_g; Age -> Dietary_Fiber_g; Gender -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p060_constraint_unconstrained,41,0,41,Gender -> Age; Income_Ratio -> Age; BMI -> Age; Waist_Circumference -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Diastolic_BP -> Age; Vigorous_Activity -> Gender; Vigorous_Activity -> Income_Ratio; Vigorous_Activity -> BMI; Gender -> Waist_Circumference; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Systolic_BP -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; BMI -> Systolic_BP; Vigorous_Activity -> Systolic_BP; Diastolic_BP -> Systolic_BP; Gender -> Diastolic_BP; BMI -> Diastolic_BP; Waist_Circumference -> Total_Calories; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Income_Ratio -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Income_Ratio -> Total_Sugars_g; Age -> Dietary_Fiber_g; Gender -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p070_constraint_nhanes_moderate_tiers,35,0,35,Income_Ratio -> Age; Age -> BMI; Gender -> BMI; Waist_Circumference -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Income_Ratio -> Systolic_BP; Waist_Circumference -> Systolic_BP; Age -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p070_constraint_nhanes_strict_tiers,33,0,33,Age -> Income_Ratio; Waist_Circumference -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Total_Calories -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Gender -> Systolic_BP; Income_Ratio -> Systolic_BP; BMI -> Systolic_BP; Age -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p070_constraint_unconstrained,36,0,36,Gender -> Age; Income_Ratio -> Age; BMI -> Age; Waist_Circumference -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Diastolic_BP -> Age; Vigorous_Activity -> Gender; Vigorous_Activity -> Income_Ratio; Vigorous_Activity -> BMI; Gender -> Waist_Circumference; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; BMI -> Systolic_BP; Vigorous_Activity -> Systolic_BP; Diastolic_BP -> Systolic_BP; Gender -> Diastolic_BP; BMI -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Dietary_Fiber_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Age -> Total_Sugars_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p080_constraint_nhanes_moderate_tiers,32,0,32,Income_Ratio -> Age; Age -> BMI; Gender -> BMI; Waist_Circumference -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Waist_Circumference -> Systolic_BP; Age -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p080_constraint_nhanes_strict_tiers,27,0,27,Age -> Income_Ratio; Waist_Circumference -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; BMI -> Systolic_BP; Age -> Diastolic_BP; Income_Ratio -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p080_constraint_unconstrained,34,0,34,Gender -> Age; Income_Ratio -> Age; BMI -> Age; Waist_Circumference -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Diastolic_BP -> Age; Vigorous_Activity -> Gender; Vigorous_Activity -> Income_Ratio; Vigorous_Activity -> BMI; Gender -> Waist_Circumference; BMI -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; BMI -> Systolic_BP; Vigorous_Activity -> Systolic_BP; Diastolic_BP -> Systolic_BP; Gender -> Diastolic_BP; BMI -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Total_Sugars_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Protein_g -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p090_constraint_nhanes_moderate_tiers,29,0,29,Income_Ratio -> Age; Age -> BMI; Gender -> BMI; Waist_Circumference -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Dietary_Fiber_g -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Waist_Circumference -> Systolic_BP; Age -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p090_constraint_nhanes_strict_tiers,24,0,24,Age -> Income_Ratio; Waist_Circumference -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Age -> Vigorous_Activity; Gender -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; BMI -> Systolic_BP; Age -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Vigorous_Activity -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p090_constraint_unconstrained,28,0,28,Gender -> Age; Income_Ratio -> Age; BMI -> Age; Waist_Circumference -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Diastolic_BP -> Age; Vigorous_Activity -> Income_Ratio; Vigorous_Activity -> BMI; Gender -> Waist_Circumference; BMI -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; Vigorous_Activity -> Systolic_BP; Diastolic_BP -> Systolic_BP; Gender -> Diastolic_BP; BMI -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_moderate_tiers,25,0,25,Age -> BMI; Gender -> BMI; Waist_Circumference -> BMI; Age -> Waist_Circumference; Gender -> Waist_Circumference; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Age -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; Waist_Circumference -> Systolic_BP; Age -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p100_constraint_nhanes_strict_tiers,21,0,21,Waist_Circumference -> BMI; Vigorous_Activity -> Waist_Circumference; Sedentary_Minutes -> Waist_Circumference; Age -> Vigorous_Activity; Income_Ratio -> Vigorous_Activity; Income_Ratio -> Sedentary_Minutes; Age -> Systolic_BP; BMI -> Systolic_BP; Age -> Diastolic_BP; Systolic_BP -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
directlingam_measure_pwling_threshold_0p100_constraint_unconstrained,27,0,27,Income_Ratio -> Age; BMI -> Age; Waist_Circumference -> Age; Vigorous_Activity -> Age; Systolic_BP -> Age; Diastolic_BP -> Age; Vigorous_Activity -> Income_Ratio; Vigorous_Activity -> BMI; Gender -> Waist_Circumference; BMI -> Waist_Circumference; Income_Ratio -> Sedentary_Minutes; Waist_Circumference -> Sedentary_Minutes; Vigorous_Activity -> Systolic_BP; Diastolic_BP -> Systolic_BP; Gender -> Diastolic_BP; BMI -> Diastolic_BP; Protein_g -> Total_Calories; Carbohydrates_g -> Total_Calories; Gender -> Protein_g; Carbohydrates_g -> Protein_g; Total_Sugars_g -> Protein_g; Gender -> Carbohydrates_g; Total_Sugars_g -> Carbohydrates_g; Gender -> Total_Sugars_g; Age -> Dietary_Fiber_g; Carbohydrates_g -> Dietary_Fiber_g; Total_Sugars_g -> Dietary_Fiber_g,
